event_id,company,group,member,event_title_en,start_date,sentiment_expected,event_category,event_subtype,event_type_final
EXO_20240414_NAN_FAN_MEETING_EXO_HOLDS_2024_EXO_FAN_MEETIN,SM,EXO,,EXO holds 2024 EXO FAN MEETING: ONE,2024-04-14,positive,concert,fan_meeting,positive_concert
EXO_20240610_CHEN_BAEKHYUN_XIUMIN_AGENCY_CONFLICT_PRESS_CO,SM,EXO,"Chen, Baekhyun, Xiumin",EXO-CBX agency holds press conference against SM Entertainment,2024-06-10,negative,PR_crisis,agency_conflict_press_conference,negative_PR_crisis
EXO_20240610_CHEN_BAEKHYUN_XIUMIN_CONTRACT_DISPUTE_REIGNIT,SM,EXO,"Chen, Baekhyun, Xiumin",SM and EXO-CBX clash again over contract and distribution terms,2024-06-10,negative,contract_member,contract_dispute_reignites,negative_contract_crisis
EXO_20240316_BAEKHYUN_SOLO_CONCERT_TOUR_BAEKHYUN_BEGINS_LO,SM,EXO,Baekhyun,Baekhyun begins Lonsdaleite solo Asia tour,2024-03-16,positive,activity,solo_concert_tour,positive_activity
EXO_20240525_SUHO_SOLO_CONCERT_TOUR_SUHO_BEGINS_SU_HOME_SO,SM,EXO,Suho,Suho begins SU:HOME solo concert tour,2024-05-25,positive,activity,solo_concert_tour,positive_activity
EXO_20240906_CHANYEOL_SOLO_CONCERT_TOUR_CHANYEOL_BEGINS_CI,SM,EXO,Chanyeol,Chanyeol begins City-scape solo live tour,2024-09-06,positive,activity,solo_concert_tour,positive_activity
EXO_20250210_KAI_MILITARY_DISCHARGE_ACTIVITY_RETURN_KAI_IS,SM,EXO,Kai,Kai is discharged from military service and prepares solo activities,2025-02-10,positive,activity,military_discharge_activity_return,positive_activity
EXO_20250517_KAI_SOLO_CONCERT_KAI_BEGINS_2025_KAION_SOLO_C,SM,EXO,Kai,Kai begins 2025 KAION solo concert tour in Seoul,2025-05-17,positive,concert,solo_concert,positive_concert
EXO_20250923_CHEN_BAEKHYUN_XIUMIN_SETTLEMENT_FAILURE_SM_AN,SM,EXO,"Chen, Baekhyun, Xiumin",SM and EXO-CBX fail to reach settlement in contract dispute,2025-09-23,negative,contract_member,settlement_failure,negative_contract_crisis
EXO_20251029_CHEN_BAEKHYUN_XIUMIN_FAN_MEETING_ABSENCE_EXO_,SM,EXO,"Chen, Baekhyun, Xiumin",EXO-CBX will not attend upcoming EXO fan meeting amid SM negotiations,2025-10-29,negative,PR_crisis,fan_meeting_absence,negative_PR_crisis
BIGBANG_20220207_T_O_P_AGENCY_DEPARTURE_T_O_P_LEAVES_YG_ENTERT,YG,BIGBANG,T.O.P,T.O.P leaves YG Entertainment after his exclusive contract expires,2022-02-07,mixed,contract_member,agency_departure,artist_transition
BIGBANG_20220405_NAN_GROUP_COMEBACK_ACTIVITY_BIGBANG_RETURNS_W,YG,BIGBANG,,BIGBANG returns with Still Life after a four-year hiatus,2022-04-05,positive,activity,group_comeback_activity,positive_activity
BIGBANG_20230531_T_O_P_MEMBER_DEPARTURE_CONFIRMED_T_O_P_CONFIR,YG,BIGBANG,T.O.P,T.O.P confirms departure from BIGBANG,2023-05-31,mixed,contract_member,member_departure_confirmed,artist_transition
BIGBANG_20231106_G_DRAGON_DRUG_ALLEGATION_INVESTIGATION_G_DRAG,YG,BIGBANG,G-Dragon,G-Dragon appears before police over alleged drug use,2023-11-06,negative,PR_crisis,drug_allegation_investigation,negative_PR_crisis
BIGBANG_20231219_G_DRAGON_DRUG_ALLEGATION_CLEARED_G_DRAGON_IS_,YG,BIGBANG,G-Dragon,G-Dragon is cleared of drug allegations,2023-12-19,positive,PR_crisis,drug_allegation_cleared,positive_resolution
BIGBANG_20231221_G_DRAGON_AGENCY_TRANSFER_G_DRAGON_JOINS_GALAX,YG,BIGBANG,G-Dragon,G-Dragon joins Galaxy Corporation after leaving YG,2023-12-21,mixed,contract_member,agency_transfer,artist_transition
BIGBANG_20240305_DAESUNG_SOLO_ACTIVITY_DAESUNG_EXPANDS_SOLO_AC,YG,BIGBANG,Daesung,Daesung expands solo activities after leaving YG,2024-03-05,positive,activity,solo_activity,positive_activity
BIGBANG_20240601_G_DRAGON_BRAND_EVENT_G_DRAGON_RESUMES_MAJOR_P,YG,BIGBANG,G-Dragon,G-Dragon resumes major public activities after drug allegation clearance,2024-06-01,positive,activity,brand_event,positive_activity
BIGBANG_20241123_G_DRAGON_TAEYANG_DAESUNG_REUNION_STAGE_G_DRAG,YG,BIGBANG,"G-Dragon, Taeyang, Daesung","G-Dragon, Taeyang, and Daesung reunite on stage",2024-11-23,positive,activity,reunion_stage,positive_activity
BIGBANG_20241226_T_O_P_ACTING_RETURN_T_O_P_RETURNS_TO_ACTING_T,YG,BIGBANG,T.O.P,T.O.P returns to acting through Squid Game Season 2,2024-12-26,mixed,activity,acting_return,positive_activity
BIGBANG_20250329_G_DRAGON_SOLO_WORLD_TOUR_START_G_DRAGON_BEGIN,YG,BIGBANG,G-Dragon,G-Dragon begins 2025 Übermensch world tour,2025-03-29,positive,concert,solo_world_tour_start,positive_concert
BIGBANG_20250623_G_DRAGON_NORTH_AMERICA_EUROPE_TOUR_ANNOUNCEME,YG,BIGBANG,G-Dragon,G-Dragon announces North America and Europe legs of 2025 Übermensch tour,2025-06-23,positive,concert,north_america_europe_tour_announcement,positive_concert
BIGBANG_20250809_G_DRAGON_SEUNGRI_SUPPORT_SIGNS_CONTROVERSY_SI,YG,BIGBANG,G-Dragon,Signs supporting Seungri at G-Dragon concert spark online debate,2025-08-09,negative,PR_crisis,seungri_support_signs_controversy,negative_PR_crisis
BIGBANG_20251101_G_DRAGON_TAIPEI_DOME_CONCERT_G_DRAGON_PERFORM,YG,BIGBANG,G-Dragon,G-Dragon performs 2025 Übermensch concerts at Taipei Dome,2025-11-01,positive,concert,taipei_dome_concert,positive_concert
BIGBANG_20251214_G_DRAGON_TOUR_CONCLUSION_G_DRAGON_CONCLUDES_2,YG,BIGBANG,G-Dragon,G-Dragon concludes 2025 Übermensch world tour,2025-12-14,positive,concert,tour_conclusion,positive_concert
