group,company,ticker,member,event_category,event_subtype,event_title_en,event_title_zh,event_title_ko,start_date,peak_date,end_date,sentiment_expected,severity_score,source_level,official_source_url,naver_source_url,notes,status
EXO,SM,041510.KQ,"Chen, Baekhyun, Xiumin",PR_crisis,agency_conflict_press_conference,EXO-CBX agency holds press conference against SM Entertainment,EXO-CBX 所屬公司召開記者會控訴 SM,엑소 첸백시 소속사 SM 상대로 기자회견,2024-06-10,2024-06-10,2024-06-24,negative,5.0,B_media,https://koreajoongangdaily.joins.com/news/2024-06-10/entertainment/kpop/EXOCBX-agency-declares-war-against-SM-Entertainment-over-distribution-royalties/2065232,,Public conflict between EXO-CBX's agency INB100 and SM over distribution royalties.,candidate
EXO,SM,041510.KQ,"Chen, Baekhyun, Xiumin",contract_member,contract_dispute_reignites,SM and EXO-CBX clash again over contract and distribution terms,SM 與 EXO-CBX 再度因合約與分潤條款爭執,SM과 엑소 첸백시 계약 및 유통 조건 갈등 재점화,2024-06-10,2024-06-10,2024-06-24,negative,5.0,B_media,https://www.koreatimes.co.kr/entertainment/k-pop/20240610/no-rights-without-responsibilities-exo-cbx-sm-clash-again-after-1-year,,Same conflict coded from contract/member-structure perspective; review later if duplicate concern arises.,candidate
EXO,SM,041510.KQ,Baekhyun,activity,solo_concert_tour,Baekhyun begins Lonsdaleite solo Asia tour,Baekhyun 展開 Lonsdaleite 個人亞洲巡演,백현 Lonsdaleite 솔로 아시아 투어 시작,2024-03-16,2024-03-16,2024-03-30,positive,3.0,B_media,https://en.wikipedia.org/wiki/Lonsdaleite_(concert_tour),,"EXO member solo concert activity, relevant for member-level traffic.",candidate
EXO,SM,041510.KQ,Suho,activity,solo_concert_tour,Suho begins SU:HOME solo concert tour,Suho 展開 SU:HOME 個人演唱會巡演,수호 SU:HOME 솔로 콘서트 투어 시작,2024-05-25,2024-05-25,2024-06-08,positive,3.0,B_media,https://en.wikipedia.org/wiki/Su:Home,,EXO member solo concert activity in 2024.,candidate
EXO,SM,041510.KQ,Chanyeol,activity,solo_concert_tour,Chanyeol begins City-scape solo live tour,Chanyeol 展開 City-scape 個人巡演,찬열 City-scape 솔로 라이브 투어 시작,2024-09-06,2024-09-06,2024-09-20,positive,3.0,B_media,https://en.wikipedia.org/wiki/City-scape,,EXO member solo concert activity in late 2024.,candidate
EXO,SM,041510.KQ,Kai,activity,military_discharge_activity_return,Kai is discharged from military service and prepares solo activities,Kai 退伍並準備恢復個人活動,카이 군 전역 후 솔로 활동 준비,2025-02-10,2025-02-10,2025-02-24,positive,3.0,B_media,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/exos-kai-all-ready-to-step-back-into-the-limelight-says-he-was-physically-tired-after-military-service/articleshow/121186863.cms,,Member return and activity resumption after military service.,candidate
EXO,SM,041510.KQ,Kai,concert,solo_concert,Kai begins 2025 KAION solo concert tour in Seoul,Kai 於首爾展開 2025 KAION 個人演唱會,카이 2025 KAION 서울 솔로 콘서트 시작,2025-05-17,2025-05-17,2025-05-31,positive,4.0,A_official,https://weverse.io/exo/notice/25588,,Official Weverse notice lists Kai solo concert dates in Seoul.,candidate
EXO,SM,041510.KQ,"Chen, Baekhyun, Xiumin",contract_member,settlement_failure,SM and EXO-CBX fail to reach settlement in contract dispute,SM 與 EXO-CBX 合約糾紛未能達成和解,SM과 엑소 첸백시 계약 분쟁 조정 실패,2025-09-23,2025-09-23,2025-10-07,negative,5.0,B_media,https://www.koreaherald.com/article/10581849,,Court/settlement-related contract dispute update; relevant to group continuity uncertainty.,candidate
EXO,SM,041510.KQ,"Chen, Baekhyun, Xiumin",PR_crisis,fan_meeting_absence,EXO-CBX will not attend upcoming EXO fan meeting amid SM negotiations,EXO-CBX 因與 SM 協商未定而不出席 EXO 粉絲見面會,엑소 첸백시 SM 협상 중 팬미팅 불참 발표,2025-10-29,2025-10-29,2025-11-12,negative,4.0,B_media,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/exos-chenbaekxi-addresses-absence-in-fan-meet-amid-sm-negotiations-promises-full-group-activities-soon/articleshow/124902055.cms,,Recent PR/continuity issue within research window; useful for 2025 data balance.,candidate
BIGBANG,YG,122870.KQ,T.O.P,contract_member,agency_departure,T.O.P leaves YG Entertainment after his exclusive contract expires,T.O.P 專屬合約到期後離開 YG Entertainment,탑 전속계약 만료 후 YG엔터테인먼트 떠남,2022-02-07,2022-02-07,2022-02-21,mixed,4.0,B_media,https://en.as.com/entertainment/top-from-k-pop-boy-band-bigbang-has-officially-left-the-group-n/,,T.O.P left YG after contract expiration while BIGBANG was preparing for Still Life.,candidate
BIGBANG,YG,122870.KQ,,activity,group_comeback_activity,BIGBANG returns with Still Life after a four-year hiatus,BIGBANG 時隔四年以 Still Life 回歸,빅뱅 4년 만에 Still Life로 복귀,2022-04-05,2022-04-05,2022-04-19,positive,5.0,B_media,https://www.rollingstone.com/music/music-features/big-bang-still-life-new-song-1332629/,,"Although comeback is not a main category, this is coded as activity because it marks group-level public activity after hiatus.",candidate
BIGBANG,YG,122870.KQ,T.O.P,contract_member,member_departure_confirmed,T.O.P confirms departure from BIGBANG,T.O.P 確認退出 BIGBANG,탑 BIGBANG 탈퇴 확인,2023-05-31,2023-05-31,2023-06-14,mixed,5.0,B_media,https://en.as.com/entertainment/top-from-k-pop-boy-band-bigbang-has-officially-left-the-group-n/,,"T.O.P publicly confirmed his withdrawal from BIGBANG, affecting member structure.",candidate
BIGBANG,YG,122870.KQ,G-Dragon,PR_crisis,drug_allegation_investigation,G-Dragon appears before police over alleged drug use,G-Dragon 因涉嫌藥物使用接受警方調查,지드래곤 마약 투약 의혹 경찰 출석,2023-11-06,2023-11-06,2023-11-20,negative,5.0,B_media,https://www.reuters.com/world/asia-pacific/k-pop-star-questioned-by-south-korea-police-alleged-drug-use-2023-11-06/,,Major PR crisis involving police questioning over alleged drug use.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,PR_crisis,drug_allegation_cleared,G-Dragon is cleared of drug allegations,G-Dragon 藥物疑雲獲警方釐清,지드래곤 마약 의혹 무혐의,2023-12-19,2023-12-19,2024-01-02,positive,4.0,B_media,https://www.reuters.com/lifestyle/k-pop-star-g-dragon-cleared-drug-allegations-media-2023-12-20/,,Follow-up PR event after police reportedly cleared G-Dragon of allegations.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,contract_member,agency_transfer,G-Dragon joins Galaxy Corporation after leaving YG,G-Dragon 離開 YG 後加入 Galaxy Corporation,지드래곤 YG 떠난 후 갤럭시코퍼레이션 합류,2023-12-21,2023-12-21,2024-01-04,mixed,4.0,B_media,https://people.com/bigbang-g-dragon-north-american-european-tour-11755015,,Member agency transition after YG contract period; affects BIGBANG-related member management.,candidate
BIGBANG,YG,122870.KQ,Daesung,activity,solo_activity,Daesung expands solo activities after leaving YG,Daesung 離開 YG 後拓展個人活動,대성 YG 떠난 후 솔로 활동 확대,2024-03-05,2024-03-05,2024-03-19,positive,3.0,B_media,https://en.wikipedia.org/wiki/Daesung,,Solo activity event used because BIGBANG group-level events are limited in 2024.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,activity,brand_event,G-Dragon resumes major public activities after drug allegation clearance,G-Dragon 藥物疑雲釐清後恢復主要公開活動,지드래곤 무혐의 이후 주요 공개 활동 재개,2024-06-01,2024-06-01,2024-06-15,positive,3.0,B_media,https://www.straitstimes.com/life/entertainment/k-pop-star-g-dragon-cleared-drug-allegations,,Activity-resumption event following late-2023 PR crisis; keep as candidate if stronger source is found.,needs_review
BIGBANG,YG,122870.KQ,"G-Dragon, Taeyang, Daesung",activity,reunion_stage,"G-Dragon, Taeyang, and Daesung reunite on stage",G-Dragon、Taeyang、Daesung 同台演出,지드래곤 태양 대성 무대 재회,2024-11-23,2024-11-23,2024-12-07,positive,4.0,B_media,https://en.wikipedia.org/wiki/2024_MAMA_Awards,,BIGBANG members appeared together at a major award-stage context; useful recent group-related traffic.,candidate
BIGBANG,YG,122870.KQ,T.O.P,activity,acting_return,T.O.P returns to acting through Squid Game Season 2,T.O.P 透過《魷魚遊戲 2》重返影視活動,탑 오징어 게임 시즌2로 연기 활동 복귀,2024-12-26,2024-12-26,2025-01-09,mixed,4.0,B_media,https://www.businessinsider.com/squid-game-thanos-fate-choi-seung-hyun-top-2024-12,,T.O.P's acting comeback generated public attention connected to former BIGBANG member reputation.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,concert,solo_world_tour_start,G-Dragon begins 2025 Übermensch world tour,G-Dragon 展開 2025 Übermensch 世界巡演,지드래곤 2025 Übermensch 월드투어 시작,2025-03-29,2025-03-29,2025-04-12,positive,4.0,B_media,https://people.com/bigbang-g-dragon-north-american-european-tour-11755015,,G-Dragon's first major world tour cycle in years; coded as concert under BIGBANG member-related events.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,concert,north_america_europe_tour_announcement,G-Dragon announces North America and Europe legs of 2025 Übermensch tour,G-Dragon 宣布 2025 Übermensch 北美與歐洲巡演,지드래곤 2025 Übermensch 북미 유럽 투어 발표,2025-06-23,2025-06-23,2025-07-07,positive,4.0,B_media,https://people.com/bigbang-g-dragon-north-american-european-tour-11755015,,Tour expansion announcement; useful for 2025 concert traffic.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,PR_crisis,seungri_support_signs_controversy,Signs supporting Seungri at G-Dragon concert spark online debate,G-Dragon 演唱會出現支持 Seungri 標語引發網路爭議,지드래곤 공연 중 승리 지지 문구 논란,2025-08-09,2025-08-09,2025-08-23,negative,3.0,B_media,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/g-dragon-performs-in-hong-kong-signs-supporting-seungri-spark-debate-online/articleshow/123214800.cms,,PR-related online controversy connected to former BIGBANG member Seungri during G-Dragon's tour.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,concert,taipei_dome_concert,G-Dragon performs 2025 Übermensch concerts at Taipei Dome,G-Dragon 於台北大巨蛋舉辦 2025 Übermensch 演唱會,지드래곤 2025 Übermensch 타이베이돔 공연,2025-11-01,2025-11-01,2025-11-15,positive,4.0,B_media,https://english.ftvnews.com.tw/news/2025B03W05EA,,Recent 2025 concert event in Taiwan; useful to balance late-period data.,candidate
BIGBANG,YG,122870.KQ,G-Dragon,concert,tour_conclusion,G-Dragon concludes 2025 Übermensch world tour,G-Dragon 結束 2025 Übermensch 世界巡演,지드래곤 2025 Übermensch 월드투어 종료,2025-12-14,2025-12-14,2025-12-28,positive,4.0,B_media,https://g-dragontour.com/,,Late-2025 concert-cycle endpoint; review date if official final-show date changes.,needs_review
